Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(615) 277-2600,37013
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Tennessee,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(615) 783-1300,37013
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Tennessee,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(615) 783-1300,37013
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Tennessee,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(615) 783-1300,37013
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(979) 680-5151,77449
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(979) 680-5151,77449
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(979) 680-5151,77449
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(979) 680-5151,77449
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(979) 680-5151,77449
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(979) 680-5151,77449
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Texas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(979) 680-5151,77449
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Texas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(254) 742-9700,77449
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Texas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(254) 742-9700,77449
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Texas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(254) 742-9700,77449
Development Loan Program,United States Virgin Islands Economic Development Authority,10000,500000,Resident of the U.S. Virgin Islands for at least 5 years with current U.S. Virgin Islands business license,Contact provider,U.S. Virgin Islands,www.usvieda.org,https://www.usvieda.org/start-or-grow-business/financing-options/development-loan-program,Loan,Not specified,(370) 773-6499,802
Farmers and Fisherman Loan Program,United States Virgin Islands Economic Development Authority,0,50000,Commercial farmers and fisherman,Contact provider,U.S. Virgin Islands,www.usvieda.org,https://www.usvieda.org/start-or-grow-business/financing-options/farmers-and-fishermen-loan-program,Loan,Not specified,(370) 773-6499,802
Micro-Credit Loan Program,United States Virgin Islands Economic Development Authority,1000,50000,Resident of the U.S. Virgin Islands for at least 5 years with current U.S. Virgin Islands business license,Contact provider,U.S. Virgin Islands,www.usvieda.org,https://www.usvieda.org/start-or-grow-business/financing-options/micro-credit-loan-program,Loan - Microloan,Not specified,(370) 773-6499,802
Micro-Credit Loan Program,United States Virgin Islands Economic Development Authority,1000,50000,Resident of the U.S. Virgin Islands for at least 5 years with current U.S. Virgin Islands business license,,U.S. Virgin Islands,www.usvieda.org,https://www.usvieda.org/start-or-grow-business/financing-options/micro-credit-loan-program,Loan - Microloan,Not specified,(370) 773-6499,802
Small Business Capital Fund,Greenline Ventures,250000,2000000,Borrowers headquartered or with significant operations in a low-income census tract,"Growth capital and general working capital, acquisitions or expansion into new markets, equipment, refinancings",United States,www.greenlineventures.com,https://www.greenlineventures.com/small-business-capital-fund,Loan,"Minorities, Women, Economically Disadvantaged",(303) 586-8000,0
New Markets Tax Credit Financing,Hope Credit Union Enterprise Corporation,0,400000,"Grocery stores, manufacturers, commercial developers, and operating businesses in New Markets Tax Credit-designated areas of higher distress as defined by the CDFI Fund",Varies with needs of the community,United States,hopecu.org,https://hopecu.org/community-development/new-markets-tax-credit-financing/,Loan,Economically Disadvantaged,(866) 321-4673,National
Kiva Crowdfunded Microloans,Kiva,0,15000,Small businesses,Capital to start or expand a small business,United States,www.kiva.org,https://www.kiva.org/blog/support-local-businesses-during-the-coronavirus-pandemic,Crowdsourced,"Minorities, Women",(828) 479-5482,National
Kiva Crowdfunded Loans,Local Initiative Support Corporation (LISC),0,10000,Startup and existing businesses working with a LISC Trustee,"Working capital, equipment, inventory",United States,www.lisc.org,https://www.lisc.org/our-model/lending/loan-products/loans-business/,Loan,Not specified,(212) 455-9800,National
Leasehold Improvement/FF&E Loans,Local Initiative Support Corporation (LISC),100000,500000,Existing businesses in LISC communities,"Leasehold improvements, remodeling and expansion, furniture, fixtures, equipment",United States,www.lisc.org,https://www.lisc.org/our-model/lending/loan-products/loans-business/,Loan,Not specified,(212) 455-9800,National
Maker Space Loans,Local Initiative Support Corporation (LISC),500000,3000000,Owners of multi-tenant maker spaces,"Adaptive reuse of old industrial buildings, warehouses, and large commercial spaces to a multi-tenant facility",United States,www.lisc.org,https://www.lisc.org/our-model/lending/loan-products/loans-business/,Loan,Not specified,(212) 455-9800,National
